date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:00	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Dec%202019%2020:29:13%20GMT	http://www.extension.harvard.edu/professional-development/	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/professional-development/index.html	(from https://www.extension.harvard.edu/)
20:18:00	80499/80499	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Sep%202019%2007:20:28%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/themes/extension/logo.png	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/themes/extension/logo.png	(from https://www.extension.harvard.edu/)
20:18:01	53610/53610	---M-Z	200	added ('OK')	text/html	etag:%221575744586-1%22	https://www.extension.harvard.edu/academics	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academics.html	(from https://www.extension.harvard.edu/)
20:18:01	30044/30044	---M-Z	200	added ('OK')	text/html	etag:%221575745516-1%22	https://www.extension.harvard.edu/registration-admissions	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/registration-admissions.html	(from https://www.extension.harvard.edu/)
20:18:02	25993/25993	---M-Z	200	added ('OK')	text/html	etag:%221575745517-1%22	https://www.extension.harvard.edu/resources-policies	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/resources-policies.html	(from https://www.extension.harvard.edu/)
20:18:03	75942/75942	---M-Z	200	added ('OK')	text/html	etag:%221575745184-1%22	https://www.extension.harvard.edu/inside-extension	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/inside-extension.html	(from https://www.extension.harvard.edu/)
20:18:04	58012/58012	---M-Z	200	added ('OK')	text/html	etag:%221575745017-1%22	https://www.extension.harvard.edu/request-information	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/request-information.html	(from https://www.extension.harvard.edu/)
20:18:04	33305/33305	---M-Z	200	added ('OK')	text/html	etag:%221575746048-1%22	https://www.extension.harvard.edu/about-us	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/about-us.html	(from https://www.extension.harvard.edu/)
20:18:05	40297/40297	---M-Z	200	added ('OK')	text/html	etag:%221575745928-1%22	https://www.extension.harvard.edu/academic-calendar	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academic-calendar.html	(from https://www.extension.harvard.edu/)
20:18:06	26625/26625	---M-Z	200	added ('OK')	text/html	etag:%221575746286-1%22	https://www.extension.harvard.edu/resources-policies/completing-your-degree	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/resources-policies/completing-your-degree.html	(from https://www.extension.harvard.edu/)
20:18:06	25843/25843	---M-Z	200	added ('OK')	text/html	etag:%221575745605-1%22	https://www.extension.harvard.edu/academics/online-campus-courses	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academics/online-campus-courses.html	(from https://www.extension.harvard.edu/)
20:18:07	244469/244469	---M-Z	200	added ('OK')	text/html	etag:%221575746134-1%22	https://www.extension.harvard.edu/faculty-directory	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/faculty-directory.html	(from https://www.extension.harvard.edu/)
20:18:07	22057/22057	---M-Z	200	added ('OK')	text/html	etag:%221575745740-1%22	https://www.extension.harvard.edu/login	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/login.html	(from https://www.extension.harvard.edu/)
20:18:08	33812/33812	---M-Z	200	added ('OK')	text/html	etag:%221575746104-1%22	https://www.extension.harvard.edu/academics/bachelor-liberal-arts-degree	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academics/bachelor-liberal-arts-degree.html	(from https://www.extension.harvard.edu/)
20:18:09	48466/48466	---M-Z	200	added ('OK')	text/html	etag:%221575745108-1%22	https://www.extension.harvard.edu/academics/graduate-degrees	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academics/graduate-degrees.html	(from https://www.extension.harvard.edu/)
20:18:09	1/1	---M-Z	301	error ('Moved%20Permanently')	text/html	etag:%221575744425-1%22	https://www.extension.harvard.edu/academics/professional-graduate-certificates	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academics/professional-graduate-certificates	(from https://www.extension.harvard.edu/)
20:18:10	47785/47785	---M-Z	200	added ('OK')	text/html	etag:%221575745178-1%22	https://www.extension.harvard.edu/academics/graduate-certificates	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academics/graduate-certificates.html	(from https://www.extension.harvard.edu/)
20:18:10	3905/3905	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202019%2019:18:10%20GMT	https://www.extension.harvard.edu/course-catalog	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/course-catalog.html	(from https://www.extension.harvard.edu/)
20:18:11	3912/3912	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202019%2019:18:11%20GMT	https://www.extension.harvard.edu/course-catalog/courses?subjects=Medical%20Sciences	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/course-catalog/courses49f9.html	(from https://www.extension.harvard.edu/)
20:18:11	1/1	---M-Z	301	error ('Moved%20Permanently')	text/html	etag:%221575744838-1%22	https://www.extension.harvard.edu/academics/premedical-program	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/academics/premedical-program	(from https://www.extension.harvard.edu/)
20:18:12	29821/29821	---M-Z	200	added ('OK')	text/html	etag:%221575744840-1%22	https://www.extension.harvard.edu/premedical-program	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/premedical-program.html	(from https://www.extension.harvard.edu/)
20:18:12	246/246	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Dec%202019%2019:18:12%20GMT	https://www.extension.harvard.edu/hilr	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/hilr	(from https://www.extension.harvard.edu/)
20:18:13	41958/41958	---M-Z	200	added ('OK')	text/html	etag:%221575745689-1%22	https://www.extension.harvard.edu/about-us/why-hes	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/about-us/why-hes.html	(from https://www.extension.harvard.edu/)
20:18:14	25476/25476	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jul%202019%2020:57:37%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/files/styles/large/public/_mg_2751_1.jpg?itok=NWSH9sp2	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/files/styles/large/public/_mg_2751_1c84e.jpg	(from https://www.extension.harvard.edu/)
20:18:15	393740/393740	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Jun%202019%2018:08:18%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/files/files/hes_110315_2913_to-crop-building-top.jpg	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/files/files/hes_110315_2913_to-crop-building-top.jpg	(from https://www.extension.harvard.edu/)
20:18:15	35338/35338	---MCZ	200	added ('OK')	text/html	etag:%221575746294-1%22	https://www.extension.harvard.edu/inside-extension/student-spotlight-blake-hite	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/inside-extension/student-spotlight-blake-hite.html	(from https://www.extension.harvard.edu/)
20:18:15	23859/23859	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Jun%202019%2019:59:28%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/files/styles/large/public/17.jpg?itok=VW9NupTB	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/files/styles/large/public/17f382.jpg	(from https://www.extension.harvard.edu/)
20:18:17	33044/33044	---MCZ	200	added ('OK')	text/html	etag:%221575746296-1%22	https://www.extension.harvard.edu/inside-extension/student-spotlight-zachary-hadley	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/inside-extension/student-spotlight-zachary-hadley.html	(from https://www.extension.harvard.edu/)
20:18:18	17670/17670	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jun%202019%2014:58:26%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/files/styles/large/public/lh-bcg_1.jpg?itok=8zFPTr7M	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/files/styles/large/public/lh-bcg_105cd.jpg	(from https://www.extension.harvard.edu/)
20:18:19	37359/37359	---MCZ	200	added ('OK')	text/html	etag:%221575746299-1%22	https://www.extension.harvard.edu/inside-extension/student-spotlight-lindsay-harris	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/inside-extension/student-spotlight-lindsay-harris.html	(from https://www.extension.harvard.edu/)
20:18:20	53173/53173	---M-Z	200	added ('OK')	text/html	etag:%221575744592-1%22	https://www.extension.harvard.edu/inside-extension/student-stories	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/inside-extension/student-stories.html	(from https://www.extension.harvard.edu/)
20:18:23	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%221544639651%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/nas%20job/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://www.extension.harvard.edu/)
20:18:24	29994/29994	---M-Z	200	added ('OK')	text/html	etag:%221575746304-1%22	https://www.extension.harvard.edu/dean-division-continuing-education-search	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/dean-division-continuing-education-search.html	(from https://www.extension.harvard.edu/)
20:18:25	554676/554676	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Dec%202019%2017:32:02%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/files/campus-in-evening.jpg	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/files/campus-in-evening.jpg	(from https://www.extension.harvard.edu/)
20:18:26	96648/96648	---M--	200	added ('OK')	image/jpeg	date:Thu,%2031%20Oct%202019%2013:32:35%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/files/harvard.extension-605.jpg	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/files/harvard.extension-605.jpg	(from https://www.extension.harvard.edu/)
20:18:27	808145/808145	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202019%2014:46:06%20GMT	https://www.extension.harvard.edu/sites/extension.harvard.edu/files/harvard.extension-574.jpg	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/sites/extension.harvard.edu/files/harvard.extension-574.jpg	(from https://www.extension.harvard.edu/)
20:18:27	30824/30824	---MCZ	200	added ('OK')	text/html	etag:%221575746307-1%22	https://www.extension.harvard.edu/letter-dean-2019-aau-student-survey-sexual-assault-misconduct-0	C:/My%20Web%20Sites/nas%20job/www.extension.harvard.edu/letter-dean-2019-aau-student-survey-sexual-assault-misconduct-0.html	(from https://www.extension.harvard.edu/)
